status,bed,bath,acre_lot,city,state,zip_code,house_size,price
0,1.0,1,20.2,Wilbraham,0,1095,1751,299000
1,1.0,2,0.28,Agawam,0,1030,1060,300000
0,4.0,2,0.16,Springfield,0,1105,1402,199900
0,5.0,1,0.13,Holyoke,0,1040,1327,300000
0,3.0,1,0.13,West Springfield,0,1089,1715,299000
1,2.0,2,0.48,Longmeadow,0,1106,1844,825000
0,5.0,2,0.11,Springfield,0,1108,1826,299900
0,4.0,1,0.21,Chicopee,0,1013,1368,474500
0,5.0,2,0.16,Chicopee,0,1020,1074,375000
0,3.0,2,0.18,Springfield,0,1118,1678,299000
0,1.0,1,0.5,Agawam,0,1030,1894,760000
1,3.0,1,0.48,Springfield,0,1119,1841,329900
0,4.0,2,0.07,Ludlow,0,1056,1462,84900
1,2.0,2,0.07,Ludlow,0,1056,1521,84900
0,4.0,2,0.25,Chicopee,0,1020,1317,330000
0,5.0,2,0.57,Springfield,0,1103,1384,65000
1,5.0,2,0.14,Northampton,0,1062,1345,105000
0,2.0,2,1.94,Northampton,0,1060,1004,50000
1,4.0,2,1.07,Hampden,0,1036,1087,349900
1,3.0,1,1.08,Granby,0,1033,1324,346000
0,3.0,2,0.23,East Longmeadow,0,1028,1878,249900
0,1.0,2,0.33,Holyoke,0,1040,1887,225000
0,3.0,2,0.64,Wilbraham,0,1095,1064,350000
1,5.0,2,0.6,Westfield,0,1085,1045,375000
0,1.0,1,0.41,Springfield,0,1118,1542,250000
0,3.0,2,0.22,Springfield,0,1129,1519,249900
1,2.0,1,0.13,Springfield,0,1108,1724,285000
0,3.0,1,0.33,Chicopee,0,1020,1399,299999
1,4.0,1,0.19,Springfield,0,1118,1838,239000
1,1.0,1,0.58,East Longmeadow,0,1028,1305,485000
0,3.0,1,1.1,Wilbraham,0,1095,1175,569000
0,5.0,2,0.65,West Springfield,0,1089,1932,299000
0,1.0,1,0.12,Springfield,0,1104,1135,225000
1,5.0,2,0.39,Amherst,0,1002,1362,880000
1,3.0,2,0.46,Northampton,0,1062,1956,319000
0,2.0,2,0.69,Longmeadow,0,1106,1651,674900
0,4.0,2,0.23,Ludlow,0,1056,1263,324900
0,4.0,2,0.23,Chicopee,0,1020,1121,389999
0,1.0,1,0.08,Springfield,0,1151,1797,399000
1,1.0,1,0.51,Chicopee,0,1020,1592,299900
0,1.0,2,0.12,Westfield,0,1085,1847,269900
1,2.0,1,0.69,Longmeadow,0,1106,1436,649900
0,4.0,2,1.28,Amherst,0,1002,1103,232000
0,4.0,2,3.04,Amherst,0,1002,1983,975000
0,2.0,2,1.17,Easthampton,0,1027,1650,399000
0,5.0,1,2.9,Monson,0,1057,1698,799900
0,4.0,2,1.92,Westfield,0,1085,1916,60000
0,3.0,1,0.62,Russell,0,1071,1035,250000
1,1.0,1,0.34,Springfield,0,1129,1407,190000
0,2.0,2,0.34,Agawam,0,1001,1687,180000
0,2.0,2,0.11,Ludlow,0,1056,1558,299500
0,3.0,2,0.14,Springfield,0,1104,1128,225000
0,2.0,2,0.4,South Hadley,0,1075,1065,224900
0,1.0,1,1.39,Agawam,0,1001,1423,169900
0,5.0,1,1.36,Southampton,0,1073,1405,1249900
1,3.0,2,0.14,Springfield,0,1108,1435,190000
0,5.0,2,0.28,Chicopee,0,1013,1926,240000
1,1.0,1,0.38,East Longmeadow,0,1028,1336,279000
0,3.0,1,0.23,Chicopee,0,1020,1845,399900
1,4.0,1,0.3,Holyoke,0,1040,1050,365000
0,5.0,1,2.52,Wilbraham,0,1095,1617,650000
1,1.0,2,0.11,Chicopee,0,1013,1139,374900
0,2.0,2,0.12,Springfield,0,1104,1970,284999
0,4.0,1,0.12,Northampton,0,1060,1343,489900
0,1.0,2,0.29,Springfield,0,1119,1429,239900
0,3.0,2,0.41,Easthampton,0,1027,1740,579900
0,3.0,1,0.3,South Hadley,0,1075,1379,295000
0,2.0,2,0.14,Northampton,0,1062,1827,499000
0,1.0,2,0.56,Amherst,0,1002,1331,745000
0,2.0,1,0.23,Holyoke,0,1040,1108,339000
0,1.0,1,0.22,Chicopee,0,1013,1572,269900
0,5.0,1,0.23,Belchertown,0,1007,1002,229900
0,4.0,1,0.31,Belchertown,0,1007,1328,215000
0,4.0,1,0.32,Springfield,0,1119,1763,275000
1,2.0,1,1.54,Northampton,0,1062,1786,525000
0,4.0,1,0.62,Longmeadow,0,1106,1434,699900
1,5.0,2,0.11,Springfield,0,1104,1396,325000
1,4.0,2,0.67,Northampton,0,1060,1435,545000
1,2.0,2,35.0,Clarksburg,0,1247,1792,29000
1,4.0,1,2.99,Otis,0,1253,1120,400000
0,1.0,1,0.62,Lanesborough,0,1237,1455,199900
0,5.0,2,0.13,Holyoke,0,1040,1201,175000
0,1.0,2,2.63,Clarksburg,0,1247,1957,314000
0,2.0,2,3.26,Huntington,0,1050,1600,26900
1,4.0,2,4.49,Northampton,0,1060,1629,1675000
0,3.0,1,3.81,Northampton,0,1062,1206,1395000
0,1.0,2,0.22,Pittsfield,0,1201,1439,169900
0,2.0,2,0.12,Pittsfield,0,1201,1246,169900
1,5.0,1,62.0,Plainfield,0,1070,1148,649000
1,5.0,2,2.75,Becket,0,1223,1609,35000
0,1.0,1,2.65,Becket,0,1223,1936,34999
0,1.0,1,0.24,Pittsfield,0,1201,1539,264999
0,2.0,1,0.22,Easthampton,0,1027,1954,299900
0,3.0,2,0.16,Pittsfield,0,1201,1505,259900
0,1.0,2,2.0,Blandford,0,1008,1295,24900
0,4.0,1,9.3,Granville,0,1034,1504,799000
0,1.0,2,1.68,Adams,0,1220,1379,79900
1,1.0,1,2.09,Rowe,0,1367,1200,28000
1,3.0,1,0.11,Adams,0,1220,1221,229000
0,3.0,1,0.24,Springfield,0,1107,1844,30000
0,1.0,2,19.66,Lanesborough,0,1237,1700,149000
0,2.0,2,0.43,Pittsfield,0,1201,1689,184900
0,2.0,2,0.18,Williamstown,0,1267,1400,1040000
0,4.0,2,0.32,Lanesborough,0,1237,1005,699900
1,2.0,1,82.0,Otis,0,1253,1547,395000
0,3.0,1,83.0,Adams,0,1220,1214,495000
1,3.0,2,178.0,Lanesborough,0,1237,1101,749900
0,3.0,2,0.99,Easthampton,0,1027,1868,2650000
0,3.0,2,3.1,Otis,0,1253,1661,99000
0,2.0,1,0.62,Otis,0,1253,1444,79900
0,5.0,2,15.8,Charlemont,0,1339,1924,89000
0,5.0,2,0.21,Otis,0,1253,1856,119900
1,3.0,1,1.1,Windsor,0,1270,1137,379990
0,4.0,1,0.81,Adams,0,1220,1387,250000
1,4.0,1,0.14,North Adams,0,1247,1718,169900
0,1.0,1,2.0,Clarksburg,0,1247,1931,54900
0,3.0,1,1.76,Clarksburg,0,1247,1889,39900
0,5.0,1,0.69,Southampton,0,1073,1671,300000
0,2.0,1,0.19,Adams,0,1220,1809,100000
0,5.0,1,0.1,Pittsfield,0,1201,1016,149900
0,5.0,1,3.2,Becket,0,1223,1799,49900
0,5.0,1,0.07,North Adams,0,1247,1497,179900
1,4.0,1,13.93,Pittsfield,0,1201,1696,199900
1,2.0,1,0.18,Lenox,0,1240,1470,819000
1,4.0,1,0.24,Holyoke,0,1040,1947,279000
0,3.0,1,0.15,Pittsfield,0,1201,1274,235000
1,5.0,1,0.45,North Adams,0,1247,1061,29000
0,5.0,1,7.86,Lee,0,1238,1135,149900
0,5.0,2,0.3,Adams,0,1220,1104,395000
0,5.0,1,0.22,Pittsfield,0,1201,1508,289000
1,1.0,1,17.41,Northampton,0,1060,1412,175000
1,1.0,1,0.4,Becket,0,1223,1129,28000
0,5.0,1,0.66,Easthampton,0,1027,1095,395000
0,3.0,1,0.36,Lenox,0,1240,1144,849000
0,5.0,2,0.35,Easthampton,0,1027,1142,395000
1,5.0,2,0.35,Northampton,0,1053,1355,575000
1,2.0,1,0.26,Pittsfield,0,1201,1421,139900
0,3.0,1,0.45,Northampton,0,1060,1193,350000
0,4.0,1,3.09,Cheshire,0,1225,1556,199900
1,4.0,1,2.0,Lee,0,1238,1248,119900
0,4.0,1,268.5,Ashfield,0,1330,1415,545000
0,1.0,2,1.0,Otis,0,1253,1506,799000
0,4.0,1,79.31,Southwick,0,1077,1390,1240000
0,3.0,2,1.24,Pittsfield,0,1201,1396,659900
0,4.0,2,0.15,Northampton,0,1060,1792,699900
1,4.0,1,1.91,Northampton,0,1060,1726,699900
1,3.0,1,1.34,Southampton,0,1073,1709,109500
0,3.0,2,42.03,Westfield,0,1085,1898,595000
1,4.0,2,73.21,North Adams,0,1247,1808,75000
0,4.0,2,62.22,North Adams,0,1247,1404,80000
0,3.0,2,9.98,Windsor,0,1270,1566,29900
0,4.0,2,3.41,Agawam,0,1001,1199,25000
0,3.0,2,3.24,Becket,0,1223,1215,14000
0,5.0,1,8.13,Windsor,0,1270,1190,30000
0,2.0,2,18.9,Plainfield,0,1070,1969,79900
0,4.0,2,0.95,North Adams,0,1247,1559,179900
0,4.0,1,0.27,Holyoke,0,1040,1137,560000
0,4.0,2,0.2,Pittsfield,0,1201,1806,129900
0,2.0,1,0.26,Pittsfield,0,1201,1904,259900
1,1.0,1,0.2,Pittsfield,0,1201,1495,149900
0,1.0,2,0.11,Holyoke,0,1040,1669,239900
1,1.0,2,0.3,Lanesborough,0,1237,500,200000
1,3.0,2,1.03,Becket,0,1223,1222,18900
1,5.0,2,3.0,Hinsdale,0,1235,1735,65000
1,3.0,2,3.0,Hinsdale,0,1235,1028,65000
0,3.0,1,0.53,Agawam,0,1030,1433,439900
1,1.0,2,25.99,Dalton,0,1226,1845,1395000
0,5.0,2,0.11,Pittsfield,0,1201,1919,174500
1,1.0,2,3.11,Hinsdale,0,1235,1677,55000
1,4.0,1,0.19,Hinsdale,0,1235,1913,275000
0,5.0,1,0.08,Pittsfield,0,1201,1428,149900
1,3.0,1,0.17,North Adams,0,1247,1320,139000
0,2.0,2,100.0,Hinsdale,0,1235,1749,150000
0,3.0,1,0.15,Pittsfield,0,1201,1937,219900
0,4.0,1,0.37,Otis,0,1253,1934,345000
0,3.0,1,10.0,North Adams,0,1247,1180,100000
0,3.0,2,0.53,Becket,0,1223,1010,19999
0,2.0,1,0.13,Pittsfield,0,1201,1600,259000
0,1.0,1,0.28,Pittsfield,0,1201,1363,169000
0,2.0,1,0.18,Pittsfield,0,1201,1548,217900
1,2.0,2,1.97,West Springfield,0,1089,1726,414900
1,1.0,2,5.83,Windsor,0,1270,1000,95000
0,3.0,1,0.42,Pittsfield,0,1201,1931,275000
0,1.0,2,1.18,Lenox,0,1240,1299,559900
1,1.0,1,0.12,Pittsfield,0,1201,1125,269000
0,1.0,1,0.13,Pittsfield,0,1201,1587,169900
0,4.0,1,4.38,Lanesborough,0,1237,1250,149000
0,4.0,2,5.49,Lenox,0,1240,1246,400000
0,5.0,2,3.0,Hawley,0,1339,1616,100000
0,3.0,2,0.29,Chicopee,0,1013,1800,85000
0,3.0,2,0.23,Westfield,0,1085,1332,314900
0,4.0,2,0.24,North Adams,0,1247,1953,119900
0,2.0,2,24.77,North Adams,0,1247,1107,75000
0,2.0,2,0.07,North Adams,0,1247,1531,139000
1,1.0,2,18.0,Chester,0,1050,1783,75000
0,4.0,1,0.35,Becket,0,1223,1174,347600
0,4.0,1,0.73,Holyoke,0,1040,1082,225000
0,4.0,2,0.18,Becket,0,1223,1141,181999
0,1.0,2,0.13,Pittsfield,0,1201,1008,110000
0,4.0,2,2.73,North Adams,0,1247,1901,39900
0,3.0,1,0.23,Pittsfield,0,1201,1031,149900
0,2.0,1,2.7,Becket,0,1223,1552,22500
0,2.0,2,0.17,Dalton,0,1226,1615,289900
0,2.0,2,1.7,Adams,0,1220,1688,395000
1,1.0,1,2.92,Becket,0,1223,1774,34950
0,2.0,2,0.54,Northampton,0,1060,1450,389900
1,1.0,2,0.37,North Adams,0,1247,1647,249000
0,5.0,1,0.13,Adams,0,1220,1381,115000
1,3.0,2,0.08,North Adams,0,1247,1494,149900
0,2.0,1,1.07,North Adams,0,1247,1679,39900
0,1.0,1,0.21,Pittsfield,0,1201,1256,165000
0,1.0,2,0.61,Agawam,0,1030,1348,589900
1,4.0,2,0.22,Hinsdale,0,1235,1384,249900
0,2.0,1,1.44,Southwick,0,1077,1486,749900
0,4.0,1,14.48,Williamsburg,0,1096,1308,1390000
0,1.0,1,0.22,North Adams,0,1247,1959,24900
0,1.0,2,100.5,Blandford,0,1008,1864,1237542
1,1.0,1,0.21,Adams,0,1220,1918,199900
0,2.0,1,0.19,Pittsfield,0,1201,1154,269000
1,4.0,1,0.16,Pittsfield,0,1201,1281,219900
0,1.0,2,1.27,Northampton,0,1060,1673,299000
0,2.0,2,0.23,Hinsdale,0,1235,1020,649900
0,5.0,2,0.1,Springfield,0,1107,1292,199919
0,5.0,1,0.14,Holyoke,0,1040,1787,249900
0,3.0,1,14.48,Williamsburg,0,1038,1038,1390000
0,1.0,2,0.17,Pittsfield,0,1201,1560,784900
1,3.0,2,0.68,Agawam,0,1001,1351,195000
0,2.0,1,0.16,Pittsfield,0,1201,1918,784900
0,5.0,1,0.08,Pittsfield,0,1201,1887,784900
1,4.0,2,1.45,Pittsfield,0,1201,1613,749000
1,2.0,1,0.13,Pittsfield,0,1201,1964,784900
0,2.0,2,0.2,Pittsfield,0,1201,1281,230000
1,3.0,1,0.32,Pittsfield,0,1201,1080,59900
1,4.0,2,0.84,Williamstown,0,1267,1070,75000
0,1.0,1,1.34,Lenox,0,1240,1280,364000
0,5.0,1,0.25,Pittsfield,0,1201,1502,99900
0,2.0,1,47.26,Becket,0,1223,1334,80000
1,2.0,2,0.35,Lenox,0,1240,1439,159000
0,4.0,2,1.0,Chester,0,1011,1283,225000
0,2.0,1,0.63,Dalton,0,1226,1209,450000
1,2.0,1,1.5,Dalton,0,1226,1480,179900
0,1.0,2,1.33,Washington,0,1223,1232,460000
1,3.0,2,3.3,Russell,0,1071,1509,49900
0,1.0,1,0.19,North Adams,0,1247,1009,109900
0,3.0,1,0.82,Lee,0,1238,1343,385000
0,4.0,1,0.34,Hinsdale,0,1235,1765,309900
0,2.0,2,0.2,Pittsfield,0,1201,1296,239900
1,3.0,2,0.07,Pittsfield,0,1201,1953,20000
0,2.0,1,1.92,Lenox,0,1240,1542,490000
0,2.0,2,0.22,Pittsfield,0,1201,1784,159900
1,2.0,2,0.77,Becket,0,1223,1216,17995
0,5.0,1,0.77,Becket,0,1223,1206,17995
0,3.0,1,0.31,Pittsfield,0,1201,1353,27500
0,2.0,1,1.6,Dalton,0,1226,1721,49900
0,1.0,2,0.97,Westfield,0,1085,1048,374900
1,1.0,2,1.98,Lenox,0,1240,1315,1250000
0,2.0,2,1.16,Lee,0,1238,1555,419000
1,4.0,2,0.22,Pittsfield,0,1201,1892,184900
0,5.0,2,5.13,Lenox,0,1240,1547,675000
0,2.0,2,0.23,Pittsfield,0,1201,1525,539900
0,4.0,2,0.24,Lanesborough,0,1237,1256,185000
0,3.0,2,0.26,Pittsfield,0,1201,1733,285000
1,1.0,2,2.16,Shelburne,0,1370,1153,70000
0,3.0,1,0.96,Pittsfield,0,1201,1990,414999
0,4.0,2,1.66,Westfield,0,1085,1998,670000
0,1.0,2,0.84,Clarksburg,0,1247,1631,75000
0,5.0,1,0.26,Holyoke,0,1040,1295,69000
0,4.0,1,0.3,Hinsdale,0,1235,1626,699000
0,4.0,1,0.22,Pittsfield,0,1201,1957,175000
0,2.0,1,163.61,Lanesborough,0,1237,1428,1500000
0,2.0,1,2.07,Huntington,0,1050,1500,100000
1,5.0,1,2.07,Huntington,0,1050,1426,100000
0,3.0,1,0.23,Northampton,0,1062,1632,119000
0,2.0,1,5.46,Cummington,0,1026,1634,144000
0,1.0,2,0.25,South Hadley,0,1075,1920,110000
0,2.0,2,0.13,Pittsfield,0,1201,1585,129900
0,5.0,1,0.04,Hinsdale,0,1235,1253,145000
0,3.0,1,0.25,Chester,0,1011,1509,115900
0,1.0,1,9.5,Huntington,0,1050,1631,55000
0,5.0,1,7.03,Plainfield,0,1070,1861,25000
0,5.0,1,0.19,Windsor,0,1270,1697,26900
1,1.0,2,3.01,Cheshire,0,1225,1947,45000
1,1.0,2,3.74,Chester,0,1011,1166,24900
0,5.0,1,0.56,Pittsfield,0,1201,1888,649900
1,1.0,2,0.3,Pittsfield,0,1201,1536,399900
0,5.0,2,12.25,Peru,0,1235,1850,139900
0,4.0,2,0.34,Pittsfield,0,1201,1451,175000
1,5.0,2,20.22,Ashfield,0,1330,1447,699000
0,3.0,1,0.84,Lee,0,1238,1388,269000
0,1.0,1,0.71,Pittsfield,0,1201,1620,239000
0,3.0,2,3.87,West Springfield,0,1089,1279,375000
1,4.0,2,46.0,Worthington,0,1098,1208,750000
0,1.0,2,0.23,Adams,0,1220,1204,209900
0,5.0,1,0.02,Adams,0,1220,1736,99900
0,1.0,1,0.36,Adams,0,1220,1097,38500
0,2.0,2,58.0,Savoy,0,1256,1671,975000
1,2.0,2,0.28,North Adams,0,1247,1882,185000
0,2.0,2,0.46,Pittsfield,0,1201,1351,299900
0,4.0,2,34.0,Williamstown,0,1267,1992,3200000
0,5.0,2,0.23,Pittsfield,0,1201,1420,299999
0,4.0,1,0.17,Chicopee,0,1013,1654,195500
1,4.0,2,0.18,Pittsfield,0,1201,1910,219900
1,3.0,2,0.75,Pittsfield,0,1201,1746,459900
1,2.0,1,0.18,Pittsfield,0,1201,1493,224900
1,5.0,1,196.1,Lanesborough,0,1237,1947,999000
0,2.0,1,0.41,Williamstown,0,1267,1590,549000
0,2.0,1,0.78,Pittsfield,0,1201,1289,639900
0,3.0,2,9.75,Cheshire,0,1225,1245,421760
0,3.0,2,10.21,Cheshire,0,1225,1817,421190
0,3.0,2,0.69,Southwick,0,1077,1810,549000
1,2.0,1,0.13,Pittsfield,0,1201,1292,475000
0,2.0,1,10.01,Cheshire,0,1225,1497,428218
0,5.0,2,1.11,Southwick,0,1077,1462,629000
0,5.0,1,69.9,Washington,0,1223,1995,339000
1,4.0,2,0.34,Pittsfield,0,1201,1015,80000
0,4.0,1,0.91,North Adams,0,1247,1773,179900
0,1.0,1,0.25,Holyoke,0,1040,1261,215000
1,2.0,2,21.24,Chester,0,1011,1926,90000
