status,bed,bath,acre_lot,city,state,zip_code,house_size,price
for_sale,2,2,20.2,Wilbraham,Massachusetts,1095,1204,299000
for_sale,3,1,0.28,Agawam,Massachusetts,1030,1260,300000
for_sale,6,3,0.16,Springfield,Massachusetts,1105,2200,199900
for_sale,4,2,0.13,Holyoke,Massachusetts,1040,1976,300000
for_sale,6,2,0.13,West Springfield,Massachusetts,1089,1848,299000
for_sale,5,4,0.48,Longmeadow,Massachusetts,1106,3657,825000
for_sale,6,2,0.11,Springfield,Massachusetts,1108,2418,299900
for_sale,10,5,0.21,Chicopee,Massachusetts,1013,4277,474500
for_sale,4,2,0.16,Chicopee,Massachusetts,1020,1280,375000
for_sale,3,2,0.18,Springfield,Massachusetts,1118,1392,299000
for_sale,5,4,0.5,Agawam,Massachusetts,1030,3200,760000
for_sale,3,3,0.48,Springfield,Massachusetts,1119,2200,329900
for_sale,2,1,0.07,Ludlow,Massachusetts,1056,700,84900
for_sale,2,1,0.07,Ludlow,Massachusetts,1056,700,84900
for_sale,5,2,0.25,Chicopee,Massachusetts,1020,2856,330000
for_sale,2,2,,Springfield,Massachusetts,1103,1050,65000
for_sale,3,1,0.14,Northampton,Massachusetts,1062,1072,105000
for_sale,2,1,,Northampton,Massachusetts,1060,807,50000
for_sale,3,3,1.07,Hampden,Massachusetts,1036,1800,349900
for_sale,3,2,1.08,Granby,Massachusetts,1033,1463,346000
for_sale,3,2,0.23,East Longmeadow,Massachusetts,1028,1259,249900
for_sale,4,2,0.33,Holyoke,Massachusetts,1040,2003,225000
for_sale,3,2,0.64,Wilbraham,Massachusetts,1095,1826,350000
for_sale,5,2,0.6,Westfield,Massachusetts,1085,2700,375000
for_sale,3,1,0.41,Springfield,Massachusetts,1118,1100,250000
for_sale,3,1,0.22,Springfield,Massachusetts,1129,1040,249900
for_sale,5,2,0.13,Springfield,Massachusetts,1108,2652,285000
for_sale,3,2,0.33,Chicopee,Massachusetts,1020,1650,299999
for_sale,2,1,0.19,Springfield,Massachusetts,1118,1024,239000
for_sale,4,3,0.58,East Longmeadow,Massachusetts,1028,1985,485000
for_sale,4,3,1.1,Wilbraham,Massachusetts,1095,2628,569000
for_sale,3,1,0.65,West Springfield,Massachusetts,1089,1424,299000
for_sale,4,1,0.12,Springfield,Massachusetts,1104,1075,225000
for_sale,6,5,0.39,Amherst,Massachusetts,1002,3246,880000
for_sale,3,1,0.46,Northampton,Massachusetts,1062,909,319000
for_sale,3,3,0.69,Longmeadow,Massachusetts,1106,3704,674900
for_sale,4,1,0.23,Ludlow,Massachusetts,1056,1740,324900
for_sale,3,2,0.23,Chicopee,Massachusetts,1020,1712,389999
for_sale,6,5,0.08,Springfield,Massachusetts,1151,5992,399000
for_sale,5,2,0.51,Chicopee,Massachusetts,1020,2264,299900
for_sale,3,1,0.12,Westfield,Massachusetts,1085,1512,269900
for_sale,4,4,0.69,Longmeadow,Massachusetts,1106,3562,649900
for_sale,2,1,,Amherst,Massachusetts,1002,899,232000
for_sale,3,4,3.04,Amherst,Massachusetts,1002,2074,975000
for_sale,2,3,,Easthampton,Massachusetts,1027,1722,399000
for_sale,3,3,2.9,Monson,Massachusetts,1057,2700,799900
for_sale,2,1,,Westfield,Massachusetts,1085,980,60000
for_sale,6,2,0.62,Russell,Massachusetts,1071,2520,250000
for_sale,3,1,0.34,Springfield,Massachusetts,1129,1048,190000
for_sale,2,1,0.34,Agawam,Massachusetts,1001,676,180000
for_sale,3,2,0.11,Ludlow,Massachusetts,1056,2240,299500
for_sale,4,2,0.14,Springfield,Massachusetts,1104,1399,225000
for_sale,2,1,0.4,South Hadley,Massachusetts,1075,1034,224900
for_sale,2,2,,Agawam,Massachusetts,1001,892,169900
for_sale,4,5,1.36,Southampton,Massachusetts,1073,4140,1249900
for_sale,6,2,0.14,Springfield,Massachusetts,1108,2508,190000
for_sale,2,1,0.28,Chicopee,Massachusetts,1013,1207,240000
for_sale,2,1,0.38,East Longmeadow,Massachusetts,1028,988,279000
for_sale,3,2,0.23,Chicopee,Massachusetts,1020,1844,399900
for_sale,3,2,0.3,Holyoke,Massachusetts,1040,1880,365000
for_sale,4,3,2.52,Wilbraham,Massachusetts,1095,2960,650000
for_sale,8,4,0.11,Chicopee,Massachusetts,1013,4356,374900
for_sale,4,3,0.12,Springfield,Massachusetts,1104,1360,284999
for_sale,3,2,0.12,Northampton,Massachusetts,1060,1531,489900
for_sale,3,1,0.29,Springfield,Massachusetts,1119,912,239900
for_sale,4,3,0.41,Easthampton,Massachusetts,1027,2590,579900
for_sale,4,2,0.3,South Hadley,Massachusetts,1075,2112,295000
for_sale,3,2,0.14,Northampton,Massachusetts,1062,1728,499000
for_sale,4,3,0.56,Amherst,Massachusetts,1002,2847,745000
for_sale,6,2,0.23,Holyoke,Massachusetts,1040,2399,339000
for_sale,4,2,0.22,Chicopee,Massachusetts,1013,1314,269900
for_sale,2,1,,Belchertown,Massachusetts,1007,864,229900
for_sale,1,1,0.31,Belchertown,Massachusetts,1007,640,215000
for_sale,3,1,0.32,Springfield,Massachusetts,1119,1082,275000
for_sale,3,2,1.54,Northampton,Massachusetts,1062,1630,525000
for_sale,4,4,0.62,Longmeadow,Massachusetts,1106,2712,699900
for_sale,6,3,0.11,Springfield,Massachusetts,1104,2632,325000
for_sale,2,2,,Northampton,Massachusetts,1060,1700,545000
for_sale,,,35,Clarksburg,Massachusetts,1247,,29000
for_sale,3,2,2.99,Otis,Massachusetts,1253,2372,400000
for_sale,3,1,0.62,Lanesborough,Massachusetts,1237,1212,199900
for_sale,5,2,0.13,Holyoke,Massachusetts,1040,1924,175000
for_sale,4,1,2.63,Clarksburg,Massachusetts,1247,1670,314000
for_sale,,,3.26,Huntington,Massachusetts,1050,,26900
for_sale,6,8,4.49,Northampton,Massachusetts,1060,8600,1675000
for_sale,6,5,3.81,Northampton,Massachusetts,1062,6361,1395000
for_sale,2,1,0.22,Pittsfield,Massachusetts,1201,1175,169900
for_sale,2,2,0.12,Pittsfield,Massachusetts,1201,1139,169900
for_sale,4,3,62,Plainfield,Massachusetts,1070,2650,649000
for_sale,,,2.75,Becket,Massachusetts,1223,,35000
for_sale,,,2.65,Becket,Massachusetts,1223,,34999
for_sale,2,2,0.24,Pittsfield,Massachusetts,1201,1044,264999
for_sale,3,2,0.22,Easthampton,Massachusetts,1027,2037,299900
for_sale,4,2,0.16,Pittsfield,Massachusetts,1201,1664,259900
for_sale,,,2,Blandford,Massachusetts,1008,,24900
for_sale,4,4,9.3,Granville,Massachusetts,1034,3164,799000
for_sale,,,1.68,Adams,Massachusetts,1220,,79900
for_sale,,,2.09,Rowe,Massachusetts,1367,,28000
for_sale,5,2,0.11,Adams,Massachusetts,1220,2456,229000
for_sale,,,0.24,Springfield,Massachusetts,1107,,30000
for_sale,,,19.66,Lanesborough,Massachusetts,1237,,149000
for_sale,4,4,0.43,Pittsfield,Massachusetts,1201,3408,184900
for_sale,2,3,,Williamstown,Massachusetts,1267,2037,1040000
for_sale,4,2,0.32,Lanesborough,Massachusetts,1237,1183,699900
for_sale,,,82,Otis,Massachusetts,1253,,395000
for_sale,,,83,Adams,Massachusetts,1220,,495000
for_sale,,,178,Lanesborough,Massachusetts,1237,,749900
for_sale,,,0.99,Easthampton,Massachusetts,1027,,2650000
for_sale,4,1,3.1,Otis,Massachusetts,1253,1826,99000
for_sale,1,1,,Otis,Massachusetts,1253,700,79900
for_sale,,,15.8,Charlemont,Massachusetts,1339,,89000
for_sale,2,1,0.21,Otis,Massachusetts,1253,1092,119900
for_sale,3,3,1.1,Windsor,Massachusetts,1270,2720,379990
for_sale,3,2,0.81,Adams,Massachusetts,1220,1655,250000
for_sale,6,2,0.14,North Adams,Massachusetts,1247,2540,169900
for_sale,,,2,Clarksburg,Massachusetts,1247,,54900
for_sale,,,1.76,Clarksburg,Massachusetts,1247,,39900
for_sale,3,1,0.69,Southampton,Massachusetts,1073,1200,300000
for_sale,5,2,0.19,Adams,Massachusetts,1220,1800,100000
for_sale,5,3,0.1,Pittsfield,Massachusetts,1201,2027,149900
for_sale,,,3.2,Becket,Massachusetts,1223,,49900
for_sale,3,1,0.07,North Adams,Massachusetts,1247,1170,179900
for_sale,,,13.93,Pittsfield,Massachusetts,1201,,199900
for_sale,3,3,0.18,Lenox,Massachusetts,1240,2402,819000
for_sale,4,3,0.24,Holyoke,Massachusetts,1040,2115,279000
for_sale,6,6,0.15,Pittsfield,Massachusetts,1201,3744,235000
for_sale,,,0.45,North Adams,Massachusetts,1247,,29000
for_sale,,,7.86,Lee,Massachusetts,1238,,149900
for_sale,4,1,0.3,Adams,Massachusetts,1220,1360,395000
for_sale,8,2,0.22,Pittsfield,Massachusetts,1201,3278,289000
for_sale,,,17.41,Northampton,Massachusetts,1060,,175000
for_sale,,,0.4,Becket,Massachusetts,1223,,28000
for_sale,2,1,,Easthampton,Massachusetts,1027,768,395000
for_sale,6,7,0.36,Lenox,Massachusetts,1240,5202,849000
for_sale,2,1,,Easthampton,Massachusetts,1027,909,395000
