status,bed,bath,acre_lot,city,state,zip_code,house_size,price
for_sale,1,1,20.2,Wilbraham,Massachusetts,1095,1751,299000
sold,1,2,0.28,Agawam,Massachusetts,1030,1060,300000
for_sale,4,2,0.16,Springfield,Massachusetts,1105,1402,199900
for_sale,5,1,0.13,Holyoke,Massachusetts,1040,1327,300000
for_sale,3,1,0.13,West Springfield,Massachusetts,1089,1715,299000
sold,2,2,0.48,Longmeadow,Massachusetts,1106,1844,825000
for_sale,5,2,0.11,Springfield,Massachusetts,1108,1826,299900
for_sale,4,1,0.21,Chicopee,Massachusetts,1013,1368,474500
for_sale,5,2,0.16,Chicopee,Massachusetts,1020,1074,375000
for_sale,3,2,0.18,Springfield,Massachusetts,1118,1678,299000
for_sale,1,1,0.5,Agawam,Massachusetts,1030,1894,760000
sold,3,1,0.48,Springfield,Massachusetts,1119,1841,329900
for_sale,4,2,0.07,Ludlow,Massachusetts,1056,1462,84900
sold,2,2,0.07,Ludlow,Massachusetts,1056,1521,84900
for_sale,4,2,0.25,Chicopee,Massachusetts,1020,1317,330000
for_sale,5,2,0.57,Springfield,Massachusetts,1103,1384,65000
sold,5,2,0.14,Northampton,Massachusetts,1062,1345,105000
for_sale,2,2,1.94,Northampton,Massachusetts,1060,1004,50000
sold,4,2,1.07,Hampden,Massachusetts,1036,1087,349900
sold,3,1,1.08,Granby,Massachusetts,1033,1324,346000
for_sale,3,2,0.23,East Longmeadow,Massachusetts,1028,1878,249900
for_sale,1,2,0.33,Holyoke,Massachusetts,1040,1887,225000
for_sale,3,2,0.64,Wilbraham,Massachusetts,1095,1064,350000
sold,5,2,0.6,Westfield,Massachusetts,1085,1045,375000
for_sale,1,1,0.41,Springfield,Massachusetts,1118,1542,250000
for_sale,3,2,0.22,Springfield,Massachusetts,1129,1519,249900
sold,2,1,0.13,Springfield,Massachusetts,1108,1724,285000
for_sale,3,1,0.33,Chicopee,Massachusetts,1020,1399,299999
sold,4,1,0.19,Springfield,Massachusetts,1118,1838,239000
sold,1,1,0.58,East Longmeadow,Massachusetts,1028,1305,485000
for_sale,3,1,1.1,Wilbraham,Massachusetts,1095,1175,569000
for_sale,5,2,0.65,West Springfield,Massachusetts,1089,1932,299000
for_sale,1,1,0.12,Springfield,Massachusetts,1104,1135,225000
sold,5,2,0.39,Amherst,Massachusetts,1002,1362,880000
sold,3,2,0.46,Northampton,Massachusetts,1062,1956,319000
for_sale,2,2,0.69,Longmeadow,Massachusetts,1106,1651,674900
for_sale,4,2,0.23,Ludlow,Massachusetts,1056,1263,324900
for_sale,4,2,0.23,Chicopee,Massachusetts,1020,1121,389999
for_sale,1,1,0.08,Springfield,Massachusetts,1151,1797,399000
sold,1,1,0.51,Chicopee,Massachusetts,1020,1592,299900
for_sale,1,2,0.12,Westfield,Massachusetts,1085,1847,269900
sold,2,1,0.69,Longmeadow,Massachusetts,1106,1436,649900
for_sale,4,2,1.28,Amherst,Massachusetts,1002,1103,232000
for_sale,4,2,3.04,Amherst,Massachusetts,1002,1983,975000
for_sale,2,2,1.17,Easthampton,Massachusetts,1027,1650,399000
for_sale,5,1,2.9,Monson,Massachusetts,1057,1698,799900
for_sale,4,2,1.92,Westfield,Massachusetts,1085,1916,60000
for_sale,3,1,0.62,Russell,Massachusetts,1071,1035,250000
sold,1,1,0.34,Springfield,Massachusetts,1129,1407,190000
for_sale,2,2,0.34,Agawam,Massachusetts,1001,1687,180000
for_sale,2,2,0.11,Ludlow,Massachusetts,1056,1558,299500
for_sale,3,2,0.14,Springfield,Massachusetts,1104,1128,225000
for_sale,2,2,0.4,South Hadley,Massachusetts,1075,1065,224900
for_sale,1,1,1.39,Agawam,Massachusetts,1001,1423,169900
for_sale,5,1,1.36,Southampton,Massachusetts,1073,1405,1249900
sold,3,2,0.14,Springfield,Massachusetts,1108,1435,190000
for_sale,5,2,0.28,Chicopee,Massachusetts,1013,1926,240000
